post_id,account_id,post_date,impressions,reach,likes,comments,shares,platform
ME00001,ACC005,2024-01-09 02:00:00 UTC,26597,27841,97,153,20,Meta
ME00002,ACC005,2024-02-10 03:00:00 IST,38216,31666,1737,162,403,Meta
ME00003,INTERNAL02,2024-03-08 12:00:00 IST,45842,36379,638,69,358,Meta
ME00004,ACC004,2024-03-18 10:00:00 UTC,24405,1331,1343,248,262,Meta
ME00005,ACC001,2024-03-28 18:00:00 IST,10536,36513,1841,38,227,Meta
ME00006,TEST001,2024-04-06 15:00:00 IST,19009,9250,1889,109,398,Meta
ME00007,ACC004,2024-04-01 05:00:00 UTC,29036,25416,330,223,413,Meta
ME00008,ACC001,2024-03-15 01:00:00 UTC,17846,18108,1830,243,52,Meta
ME00009,INTERNAL02,2024-02-08 21:00:00 UTC,25908,37687,1867,261,448,Meta
ME00010,ACC001,2024-03-22 19:00:00 UTC,28562,13711,79,188,2,Meta
ME00011,ACC001,2024-02-08 02:00:00 UTC,47264,7801,308,251,1,Meta
ME00012,INTERNAL02,2024-05-26 04:00:00 IST,20926,8718,1084,194,495,Meta
ME00013,ACC001,2024-02-02 08:00:00 UTC,43807,8107,1150,150,326,Meta
ME00014,ACC003,2024-02-20 13:00:00 UTC,15391,18788,1701,219,416,Meta
ME00015,INTERNAL02,2024-06-20 19:00:00 UTC,22255,26178,1805,96,210,Meta
ME00016,INTERNAL02,2024-02-04 15:00:00 UTC,13756,12955,854,36,209,Meta
ME00017,ACC002,2024-02-20 04:00:00 IST,36878,38887,1747,122,277,Meta
ME00018,ACC001,2024-01-10 02:00:00 UTC,38147,19599,854,283,306,Meta
ME00019,ACC003,2024-05-25 05:00:00 IST,45892,29048,1896,40,30,Meta
ME00020,TEST001,2024-03-22 07:00:00 IST,45280,26088,243,19,344,Meta
ME00021,TEST001,2024-04-13 19:00:00 UTC,45956,12134,827,255,139,Meta
ME00022,ACC004,2024-01-13 07:00:00 IST,26820,21268,1875,154,497,Meta
ME00023,INTERNAL02,2024-03-25 01:00:00 IST,8441,18297,1114,56,411,Meta
ME00024,INTERNAL02,2024-01-27 07:00:00 IST,41636,9527,67,194,388,Meta
ME00025,ACC002,2024-05-02 09:00:00 IST,37887,37969,1531,62,51,Meta
ME00026,ACC004,2024-03-01 05:00:00 UTC,36239,10857,1975,295,248,Meta
ME00027,ACC003,2024-04-04 21:00:00 IST,22322,25547,148,146,69,Meta
ME00028,ACC004,2024-01-19 07:00:00 IST,49116,19513,1794,86,274,Meta
ME00029,TEST001,2024-02-12 19:00:00 UTC,16473,22655,1271,127,72,Meta
ME00030,ACC005,2024-05-16 02:00:00 IST,10198,26652,1233,77,3,Meta
ME00031,ACC004,2024-01-02 20:00:00 UTC,19081,13522,81,60,241,Meta
ME00032,ACC002,2024-06-19 20:00:00 UTC,13374,12614,504,178,208,Meta
ME00033,ACC005,2024-01-13 04:00:00 UTC,46438,39260,597,145,86,Meta
ME00034,ACC005,2024-03-13 22:00:00 IST,49578,7215,295,24,98,Meta
ME00035,INTERNAL02,2024-03-23 15:00:00 UTC,25544,30227,249,38,256,Meta
ME00036,ACC002,2024-06-12 11:00:00 IST,32465,9169,1955,121,368,Meta
ME00037,ACC003,2024-03-01 23:00:00 UTC,38922,38423,1731,42,56,Meta
ME00038,TEST001,2024-05-26 04:00:00 UTC,9978,38656,1576,171,62,Meta
ME00039,ACC004,2024-03-26 11:00:00 IST,19617,19778,410,111,179,Meta
ME00040,INTERNAL02,2024-02-05 23:00:00 UTC,6867,823,528,169,445,Meta
ME00041,ACC005,2024-04-21 20:00:00 UTC,22300,14185,1027,26,405,Meta
ME00042,INTERNAL02,2024-05-25 02:00:00 UTC,31217,25993,1833,210,337,Meta
ME00043,ACC005,2024-04-10 14:00:00 IST,5460,37609,1521,221,82,Meta
ME00044,ACC002,2024-02-15 00:00:00 IST,10366,17267,1913,94,71,Meta
ME00045,ACC004,2024-01-20 09:00:00 IST,42105,33216,674,198,117,Meta
ME00046,TEST001,2024-03-07 21:00:00 IST,30093,5317,619,34,73,Meta
ME00047,ACC005,2024-01-03 21:00:00 UTC,42361,7278,1133,208,282,Meta
ME00048,ACC001,2024-04-14 13:00:00 IST,45833,11976,534,280,75,Meta
ME00049,TEST001,2024-03-02 11:00:00 UTC,27516,27186,1818,129,92,Meta
ME00050,ACC005,2024-04-21 13:00:00 UTC,12978,25197,319,176,89,Meta
ME00051,INTERNAL02,2024-01-26 18:00:00 UTC,48920,19225,122,172,284,Meta
ME00052,ACC004,2024-01-27 22:00:00 IST,41079,37249,429,85,79,Meta
ME00053,INTERNAL02,2024-04-18 01:00:00 UTC,35951,30237,653,165,145,Meta
ME00054,INTERNAL02,2024-01-26 23:00:00 IST,14819,5875,404,89,6,Meta
ME00055,TEST001,2024-02-05 07:00:00 UTC,21332,26949,152,254,274,Meta
ME00056,ACC003,2024-01-13 15:00:00 IST,17889,29669,871,159,142,Meta
ME00057,ACC005,2024-06-15 00:00:00 UTC,14026,1756,125,38,241,Meta
ME00058,ACC003,2024-04-21 13:00:00 UTC,43311,27060,1424,1,167,Meta
ME00059,ACC003,2024-02-05 04:00:00 UTC,18883,36170,979,71,443,Meta
ME00060,ACC003,2024-04-04 17:00:00 UTC,27023,14772,1158,186,79,Meta
ME00061,ACC003,2024-02-03 04:00:00 UTC,36048,14396,1374,144,269,Meta
ME00062,ACC004,2024-06-17 23:00:00 UTC,21630,21617,196,249,98,Meta
ME00063,ACC003,2024-05-12 13:00:00 UTC,32881,14542,994,33,183,Meta
ME00064,ACC005,2024-04-03 02:00:00 UTC,49191,39406,1714,238,310,Meta
ME00065,ACC005,2024-02-20 09:00:00 UTC,28225,7350,1923,298,302,Meta
ME00066,ACC001,2024-01-01 23:00:00 UTC,16244,2233,1900,277,304,Meta
ME00067,TEST001,2024-03-25 07:00:00 IST,43927,6953,1211,141,152,Meta
ME00068,ACC002,2024-05-19 22:00:00 UTC,37963,25614,204,266,16,Meta
ME00069,INTERNAL02,2024-02-23 22:00:00 UTC,1812,7120,420,269,0,Meta
ME00070,ACC001,2024-02-09 13:00:00 UTC,27163,11208,1885,183,139,Meta
ME00071,ACC003,2024-06-21 16:00:00 IST,6736,23011,1113,218,47,Meta
ME00072,INTERNAL02,2024-04-20 06:00:00 UTC,25875,37515,782,199,19,Meta
ME00073,ACC004,2024-04-25 17:00:00 IST,47989,1884,120,144,371,Meta
ME00074,ACC001,2024-01-16 21:00:00 IST,35384,7524,163,259,384,Meta
ME00075,ACC003,2024-06-16 13:00:00 UTC,9741,26383,663,291,283,Meta
ME00076,INTERNAL02,2024-01-11 06:00:00 IST,19500,16260,1612,113,137,Meta
ME00077,ACC004,2024-02-02 03:00:00 UTC,37161,37283,984,29,231,Meta
ME00078,TEST001,2024-03-22 00:00:00 IST,30927,39508,202,15,309,Meta
ME00079,ACC004,2024-03-06 22:00:00 UTC,38781,17912,1751,189,410,Meta
ME00080,ACC003,2024-03-06 13:00:00 UTC,41971,38425,1437,54,59,Meta
ME00081,TEST001,2024-02-28 11:00:00 UTC,15590,2300,1809,174,116,Meta
ME00082,ACC003,2024-02-16 05:00:00 IST,40464,5408,176,221,190,Meta
ME00083,ACC003,2024-03-12 07:00:00 IST,39973,12839,1619,231,455,Meta
ME00084,ACC002,2024-02-16 11:00:00 IST,49386,14918,1014,178,400,Meta
ME00085,ACC004,2024-03-25 12:00:00 IST,49836,15259,237,205,52,Meta
ME00086,ACC002,2024-04-09 16:00:00 UTC,35907,17917,416,106,360,Meta
ME00087,ACC004,2024-03-19 13:00:00 UTC,43175,17899,1795,187,59,Meta
ME00088,ACC001,2024-03-27 18:00:00 UTC,5157,14199,276,186,479,Meta
ME00089,ACC003,2024-03-27 03:00:00 UTC,27315,31290,1602,258,126,Meta
ME00090,ACC002,2024-04-21 04:00:00 UTC,6403,27556,1444,151,177,Meta
